Entry: 2025-07-01 09:33:00, Exit: 2025-07-01 10:01:00, Entry Level: 57536.80, Exit Level: 57474.20, Reason: fixed_tp, Result: WIN, P/L: 62.60
Entry: 2025-07-01 09:34:00, Exit: 2025-07-01 10:01:00, Entry Level: 57530.40, Exit Level: 57474.20, Reason: fixed_tp, Result: WIN, P/L: 56.20
Entry: 2025-07-01 09:35:00, Exit: 2025-07-01 10:01:00, Entry Level: 57536.60, Exit Level: 57474.20, Reason: fixed_tp, Result: WIN, P/L: 62.40
Entry: 2025-07-01 09:36:00, Exit: 2025-07-01 10:01:00, Entry Level: 57538.00, Exit Level: 57474.20, Reason: fixed_tp, Result: WIN, P/L: 63.80
Entry: 2025-07-01 09:37:00, Exit: 2025-07-01 10:01:00, Entry Level: 57530.40, Exit Level: 57474.20, Reason: fixed_tp, Result: WIN, P/L: 56.20
Entry: 2025-07-01 09:38:00, Exit: 2025-07-01 10:14:00, Entry Level: 57505.00, Exit Level: 57434.80, Reason: fixed_tp, Result: WIN, P/L: 70.20
Entry: 2025-07-01 11:01:00, Exit: 2025-07-01 11:21:00, Entry Level: 57382.00, Exit Level: 57447.80, Reason: conf_long_exit, Result: LOSS, P/L: -65.80
Entry: 2025-07-02 09:57:00, Exit: 2025-07-02 10:01:00, Entry Level: 57539.80, Exit Level: 57475.00, Reason: fixed_tp, Result: WIN, P/L: 64.80
Entry: 2025-07-02 09:58:00, Exit: 2025-07-02 10:01:00, Entry Level: 57539.80, Exit Level: 57475.00, Reason: fixed_tp, Result: WIN, P/L: 64.80
Entry: 2025-07-02 10:16:00, Exit: 2025-07-02 11:10:00, Entry Level: 57500.00, Exit Level: 57423.20, Reason: fixed_tp, Result: WIN, P/L: 76.80
Entry: 2025-07-02 10:52:00, Exit: 2025-07-02 11:10:00, Entry Level: 57482.00, Exit Level: 57423.20, Reason: fixed_tp, Result: WIN, P/L: 58.80
Entry: 2025-07-02 10:53:00, Exit: 2025-07-02 11:10:00, Entry Level: 57484.00, Exit Level: 57423.20, Reason: fixed_tp, Result: WIN, P/L: 60.80
Entry: 2025-07-02 10:54:00, Exit: 2025-07-02 11:10:00, Entry Level: 57482.00, Exit Level: 57423.20, Reason: fixed_tp, Result: WIN, P/L: 58.80
Entry: 2025-07-02 10:55:00, Exit: 2025-07-02 11:10:00, Entry Level: 57484.20, Exit Level: 57423.20, Reason: fixed_tp, Result: WIN, P/L: 61.00
Entry: 2025-07-02 12:49:00, Exit: 2025-07-02 13:19:00, Entry Level: 57390.00, Exit Level: 57330.00, Reason: fixed_tp, Result: WIN, P/L: 60.00
Entry: 2025-07-02 12:52:00, Exit: 2025-07-02 13:19:00, Entry Level: 57390.00, Exit Level: 57330.00, Reason: fixed_tp, Result: WIN, P/L: 60.00
Entry: 2025-07-02 12:53:00, Exit: 2025-07-02 13:19:00, Entry Level: 57385.00, Exit Level: 57330.00, Reason: fixed_tp, Result: WIN, P/L: 55.00
Entry: 2025-07-02 12:54:00, Exit: 2025-07-02 13:19:00, Entry Level: 57386.00, Exit Level: 57330.00, Reason: fixed_tp, Result: WIN, P/L: 56.00
Entry: 2025-07-02 12:55:00, Exit: 2025-07-02 13:19:00, Entry Level: 57388.20, Exit Level: 57330.00, Reason: fixed_tp, Result: WIN, P/L: 58.20
