Entry: 2025-07-07 09:25:00, Exit: 2025-07-07 09:35:00, Entry Level: 57205.00, Exit Level: 57269.60, Result: WIN, P/L: 64.60
Entry: 2025-07-07 09:21:00, Exit: 2025-07-07 10:06:00, Entry Level: 57273.60, Exit Level: 57111.00, Result: LOSS, P/L: -162.60
Entry: 2025-07-07 09:22:00, Exit: 2025-07-07 10:06:00, Entry Level: 57275.80, Exit Level: 57111.00, Result: LOSS, P/L: -164.80
Entry: 2025-07-07 10:27:00, Exit: 2025-07-07 10:48:00, Entry Level: 57170.00, Exit Level: 57220.00, Result: WIN, P/L: 50.00
Entry: 2025-07-07 10:28:00, Exit: 2025-07-07 10:48:00, Entry Level: 57165.00, Exit Level: 57220.00, Result: WIN, P/L: 55.00
Entry: 2025-07-07 10:34:00, Exit: 2025-07-07 10:48:00, Entry Level: 57163.60, Exit Level: 57220.00, Result: WIN, P/L: 56.40
Entry: 2025-07-07 10:35:00, Exit: 2025-07-07 10:48:00, Entry Level: 57169.40, Exit Level: 57220.00, Result: WIN, P/L: 50.60
Entry: 2025-07-07 10:26:00, Exit: 2025-07-07 10:51:00, Entry Level: 57178.60, Exit Level: 57230.00, Result: WIN, P/L: 51.40
Entry: 2025-07-07 10:25:00, Exit: 2025-07-07 10:54:00, Entry Level: 57190.00, Exit Level: 57240.00, Result: WIN, P/L: 50.00
Entry: 2025-07-07 10:33:00, Exit: 2025-07-07 10:54:00, Entry Level: 57185.60, Exit Level: 57240.00, Result: WIN, P/L: 54.40
Entry: 2025-07-07 10:23:00, Exit: 2025-07-07 10:56:00, Entry Level: 57204.00, Exit Level: 57265.00, Result: WIN, P/L: 61.00
Entry: 2025-07-07 10:24:00, Exit: 2025-07-07 10:56:00, Entry Level: 57194.60, Exit Level: 57265.00, Result: WIN, P/L: 70.40
Entry: 2025-07-07 10:42:00, Exit: 2025-07-07 10:56:00, Entry Level: 57199.40, Exit Level: 57265.00, Result: WIN, P/L: 65.60
Entry: 2025-07-07 10:43:00, Exit: 2025-07-07 10:56:00, Entry Level: 57195.80, Exit Level: 57265.00, Result: WIN, P/L: 69.20
Entry: 2025-07-07 10:47:00, Exit: 2025-07-07 10:56:00, Entry Level: 57210.00, Exit Level: 57265.00, Result: WIN, P/L: 55.00
Entry: 2025-07-07 10:52:00, Exit: 2025-07-07 10:56:00, Entry Level: 57212.80, Exit Level: 57265.00, Result: WIN, P/L: 52.20
Entry: 2025-07-07 09:24:00, Exit: 2025-07-07 10:57:00, Entry Level: 57231.20, Exit Level: 57283.40, Result: WIN, P/L: 52.20
