Entry: 2025-07-11 11:23:00, Exit: 2025-07-11 11:31:00, Entry Level: 56855.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 58.00
Entry: 2025-07-11 11:25:00, Exit: 2025-07-11 11:31:00, Entry Level: 56862.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 51.00
Entry: 2025-07-11 11:26:00, Exit: 2025-07-11 11:31:00, Entry Level: 56853.80, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 59.40
Entry: 2025-07-11 11:27:00, Exit: 2025-07-11 11:31:00, Entry Level: 56856.20, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 57.00
Entry: 2025-07-11 11:28:00, Exit: 2025-07-11 11:31:00, Entry Level: 56856.00, Exit Level: 56913.20, Reason: fixed_tp, Result: WIN, P/L: 57.20
Entry: 2025-07-11 11:21:00, Exit: 2025-07-11 12:33:00, Entry Level: 56869.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 56.00
Entry: 2025-07-11 11:22:00, Exit: 2025-07-11 12:33:00, Entry Level: 56874.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 51.00
Entry: 2025-07-11 11:24:00, Exit: 2025-07-11 12:33:00, Entry Level: 56867.80, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 57.20
Entry: 2025-07-11 11:29:00, Exit: 2025-07-11 12:33:00, Entry Level: 56873.40, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 51.60
Entry: 2025-07-11 11:55:00, Exit: 2025-07-11 12:33:00, Entry Level: 56873.00, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 52.00
Entry: 2025-07-11 11:57:00, Exit: 2025-07-11 12:33:00, Entry Level: 56870.20, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 54.80
Entry: 2025-07-11 11:58:00, Exit: 2025-07-11 12:33:00, Entry Level: 56866.60, Exit Level: 56925.00, Reason: fixed_tp, Result: WIN, P/L: 58.40
Entry: 2025-07-11 11:30:00, Exit: 2025-07-11 12:34:00, Entry Level: 56875.20, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 73.80
Entry: 2025-07-11 11:36:00, Exit: 2025-07-11 12:34:00, Entry Level: 56892.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 57.00
Entry: 2025-07-11 11:51:00, Exit: 2025-07-11 12:34:00, Entry Level: 56885.00, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 64.00
Entry: 2025-07-11 11:52:00, Exit: 2025-07-11 12:34:00, Entry Level: 56878.80, Exit Level: 56949.00, Reason: fixed_tp, Result: WIN, P/L: 70.20
