Entry: 2025-07-14 09:59:00, Exit: 2025-07-14 11:00:00, Direction: LONG, Entry Price: 57050.0, Exit Price: 56890.0, Exit Reason: fixed_sl, Result: LOSS, P/L: -160.0
Entry: 2025-07-14 10:26:00, Exit: 2025-07-14 11:07:00, Direction: LONG, Entry Price: 57032.0, Exit Price: 56869.8, Exit Reason: fixed_sl, Result: LOSS, P/L: -162.1999999999971
Entry: 2025-07-14 10:24:00, Exit: 2025-07-14 11:08:00, Direction: LONG, Entry Price: 57027.4, Exit Price: 56861.0, Exit Reason: fixed_sl, Result: LOSS, P/L: -166.40000000000146
Entry: 2025-07-14 10:25:00, Exit: 2025-07-14 11:08:00, Direction: LONG, Entry Price: 57028.0, Exit Price: 56861.0, Exit Reason: fixed_sl, Result: LOSS, P/L: -167.0
Entry: 2025-07-14 10:27:00, Exit: 2025-07-14 11:09:00, Direction: LONG, Entry Price: 57020.2, Exit Price: 56853.8, Exit Reason: fixed_sl, Result: LOSS, P/L: -166.39999999999418
Entry: 2025-07-14 10:28:00, Exit: 2025-07-14 11:09:00, Direction: LONG, Entry Price: 57014.6, Exit Price: 56853.8, Exit Reason: fixed_sl, Result: LOSS, P/L: -160.79999999999563
Entry: 2025-07-14 10:29:00, Exit: 2025-07-14 11:09:00, Direction: LONG, Entry Price: 57020.4, Exit Price: 56853.8, Exit Reason: fixed_sl, Result: LOSS, P/L: -166.59999999999854
Entry: 2025-07-14 10:30:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56988.0, Exit Price: 56812.4, Exit Reason: fixed_sl, Result: LOSS, P/L: -175.59999999999854
Entry: 2025-07-14 10:31:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56976.6, Exit Price: 56812.4, Exit Reason: fixed_sl, Result: LOSS, P/L: -164.1999999999971
Entry: 2025-07-14 10:45:00, Exit: 2025-07-14 11:43:00, Direction: LONG, Entry Price: 56955.2, Exit Price: 56789.0, Exit Reason: fixed_sl, Result: LOSS, P/L: -166.1999999999971
Entry: 2025-07-14 11:43:00, Exit: 2025-07-14 11:51:00, Direction: LONG, Entry Price: 56789.0, Exit Price: 56842.8, Exit Reason: fixed_tp, Result: WIN, P/L: 53.80000000000291
Entry: 2025-07-14 11:34:00, Exit: 2025-07-14 12:08:00, Direction: LONG, Entry Price: 56804.8, Exit Price: 56860.0, Exit Reason: fixed_tp, Result: WIN, P/L: 55.19999999999709
Entry: 2025-07-14 11:35:00, Exit: 2025-07-14 12:08:00, Direction: LONG, Entry Price: 56804.2, Exit Price: 56860.0, Exit Reason: fixed_tp, Result: WIN, P/L: 55.80000000000291
